Scenario,Method,2y,5y,10y,median,RMS
Base,AFT.GG,-0.057781192,-0.027227984,0.025159936,-0.069369096,-0.075324074
Base,AFT.WBL.LS,-0.005095394,-0.001864655,0.002122382,-0.055617179,-0.028667526
Base,CTV.LPW,0.003941113,0.003153913,0.000253327,-0.023215174,-0.036520712
Base,CTV.LT,-0.009837125,-0.004210584,0.003079005,-0.04199737,-0.044017058
Base,NCM,-0.069124355,-0.037574778,0.019748977,-0.34780935,-0.18066075
Base,NUA,-0.058000365,-0.087857693,-0.094981097,-2.154671798,-1.191639857
Base,PO,0.000411575,-0.000438595,0.00012458,-0.019500402,-0.023746539
Base,WKM,0.000354364,-0.000482571,9.47E-05,-0.020766937,-0.024400675
LPW,AFT.GG,0.078664256,0.014466883,-0.042393997,-0.263041595,-0.081300443
LPW,AFT.WBL.LS,0.038731741,0.00545568,-0.013821916,-0.19244697,-0.027046183
LPW,CTV.LPW,0.000600773,-0.00036933,-0.010684175,-0.034071394,-0.085636428
LPW,CTV.LT,0.003424533,-0.014232249,-0.006376867,-0.27782527,-0.130702236
LPW,NCM,0.082148092,0.021065998,-0.030452217,0.101860264,0.031227192
LPW,NUA,-0.072530294,-0.092506947,-0.094834294,-2.965730426,-1.267358862
LPW,PO,0.000714639,-0.000702157,-3.66E-06,-0.018751258,-0.072925347
LPW,WKM,0.000666752,-0.000740503,-3.25E-05,-0.019864677,-0.073497408
Modest NPH,AFT.GG,-0.028663816,-0.014201047,0.012313726,0.103903554,-0.07147134
Modest NPH,AFT.WBL.LS,-0.004365175,-0.003040128,0.001953553,-0.115171205,-0.048824229
Modest NPH,CTV.LPW,0.002532153,0.001684636,-0.000133981,-0.017211025,-0.051561063
Modest NPH,CTV.LT,-0.012932033,-0.007590913,0.003465232,-0.04761252,-0.07632364
Modest NPH,NCM,-0.03959611,-0.022340789,0.010618485,-0.09649059,-0.140131933
Modest NPH,NUA,-0.058589219,-0.086319562,-0.094413041,-2.494735271,-1.206684157
Modest NPH,PO,0.000502352,-0.000298313,-6.33E-05,-0.022144997,-0.043686746
Modest NPH,WKM,0.000448559,-0.000340608,-9.42E-05,-0.021467225,-0.044331623
Modest TE,AFT.GG,-0.063897184,-0.025767617,0.028768358,-0.322593866,-0.048836998
Modest TE,AFT.WBL.LS,-0.004142879,0.000347602,0.001722427,-0.009699457,-0.002731687
Modest TE,CTV.LPW,0.004880839,0.003536473,0.001635231,0.011134907,-0.008109839
Modest TE,CTV.LT,-0.012012272,-0.003312756,0.004715806,-0.041570308,-0.017094976
Modest TE,NCM,-0.069964801,-0.032334396,0.023560388,-0.470998469,-0.125959655
Modest TE,NUA,-0.062830749,-0.092755617,-0.093618518,-1.892716515,-1.185196173
Modest TE,PO,0.000459952,-0.000768697,0.000618193,-0.01742871,0.000209049
Modest TE,WKM,0.000407873,-0.000806994,0.000590087,-0.018283884,-0.000377681
Small SS,AFT.GG,-0.056972313,-0.026766846,0.026017947,-0.037306559,-0.132098692
Small SS,AFT.WBL.LS,-0.006237321,-0.002863784,0.002604275,-0.053294584,-0.060304529
Small SS,CTV.LPW,0.003097124,0.002968363,0.000417796,-0.015827105,-0.072291673
Small SS,CTV.LT,-0.010647039,-0.005223377,0.003275452,-0.039071038,-0.079560773
Small SS,NCM,-0.069727275,-0.038115071,0.020114165,-0.338952344,-0.245654516
Small SS,NUA,-0.060893628,-0.089840147,-0.095267054,-2.184191414,-1.173833857
Small SS,PO,-0.000825597,-0.000684289,0.000412058,-0.017568171,-0.059370032
Small SS,WKM,-0.000457004,-0.000407358,0.000593716,-0.020815232,-0.055950539
GG lambda -0.5,AFT.GG,-0.000321307,-0.000709925,0.000743075,0.003646786,-0.045373946
GG lambda -0.5,AFT.WBL.LS,-0.023989374,-0.012172401,0.012367865,-0.528954278,-0.055403707
GG lambda -0.5,CTV.LPW,0.002185547,0.002195048,0.000509836,0.016404384,-0.059949358
GG lambda -0.5,CTV.LT,-0.007573641,0.003168747,0.002382178,0.076016923,-0.04807051
GG lambda -0.5,NCM,-0.0519235,-0.027867623,0.014698749,-0.007787147,-0.152183624
GG lambda -0.5,NUA,-0.062670899,-0.08624437,-0.080497685,-2.193871287,-1.098088568
GG lambda -0.5,PO,0.000254495,-0.000437549,-0.000366169,-0.003119814,-0.049679432
GG lambda -0.5,WKM,0.000414096,-0.000319721,-0.000295404,-0.001731312,-0.048215055
GG lambda 2.5,AFT.GG,-0.000552676,-0.001113466,-0.000811926,-0.028330105,-0.05265746
GG lambda 2.5,AFT.WBL.LS,0.008613102,0.0041366,-0.004918199,0.256706893,-0.046336392
GG lambda 2.5,CTV.LPW,-0.002538389,-0.001752606,-0.000377879,0.027800699,-0.053640873
GG lambda 2.5,CTV.LT,-0.085302653,-0.027337988,0.0370517,0.154848448,-0.130925924
GG lambda 2.5,NCM,0.014732032,0.007159384,-0.005419765,0.114752095,-0.018573338
GG lambda 2.5,NUA,-0.037169447,-0.048993984,-0.058078267,-1.807617072,-0.756086881
GG lambda 2.5,PO,-0.000847062,-0.000538886,-0.00062462,-0.026388045,-0.049882022
GG lambda 2.5,WKM,-0.000779912,-0.000485964,-0.000589177,-0.024843798,-0.049248127
