"Scenario","Method","2y","5y","10y","median","RMS"
"Base","AFT.GG",-0.057781191734,-0.027227983744,0.025159935761523,-0.069369095504,-0.075324074038
"Base","AFT.WBL.LS",-0.005095393398,-0.001864655398,0.00212238210621242,-0.05561717925,-0.028667526478
"Base","CTV.LT",0.003941113,0.003153912546,0.000253326799599198,-0.023215174256,-0.036520712254
"Base","CTV.LPW",-0.009837125454,-0.004210584342,0.00307900482164329,-0.041997370432,-0.044017058308
"Base","NCM",-0.06912435542,-0.037574777704,0.0197489766032064,-0.34780934979,-0.180660749552
"Base","NUA",-0.058000364858,-0.087857693094,-0.0949810970741483,-2.154671797524,-1.191639857248
"Base","PO",0.000411574858,-0.000438595018,0.000124579991983968,-0.01950040164,-0.023746538992
"Base","WKM",0.000354363514,-0.000482571084,9.4668128256513e-05,-0.020766937076,-0.024400675342
"LPW","AFT.GG",0.0786642555245153,0.0144668832787248,-0.0423939967129826,-0.263041595338064,-0.08130044328364
"LPW","AFT.WBL.LS",0.0387317409056019,0.00545567970269822,-0.0138219155318211,-0.192446969552374,-0.0270461832385457
"LPW","CTV.LT",0.000600773136472475,-0.000369329600320059,-0.0106841752331208,-0.0340713936001399,-0.0856364276655332
"LPW","CTV.LPW",0.00342453313710875,-0.0142322485503886,-0.00637686736771265,-0.277825269636615,-0.130702235871731
"LPW","NCM",0.0821480921028227,0.0210659975604798,-0.0304522171221704,0.101860263638166,0.0312271918336854
"LPW","NUA",-0.0725302939075881,-0.0925069469551281,-0.0948342943040219,-2.9657304262999,-1.2673588618977
"LPW","PO",0.000714638902729718,-0.000702157427182861,-3.66264853242747e-06,-0.0187512575023288,-0.0729253471322087
"LPW","WKM",0.000666751912977467,-0.000740502748156615,-3.24925697051899e-05,-0.019864676798427,-0.0734974084184165
"Modest NPH","AFT.GG",-0.028663815794024,-0.0142010468775375,0.0123137255466615,0.103903554274758,-0.0714713400708031
"Modest NPH","AFT.WBL.LS",-0.00436517510095549,-0.00304012784872477,0.00195355309278927,-0.115171205438272,-0.0488242288774728
