"Scenario","Method","2y","5y","10y","median","RMS"
"PWC","Cox",0,0.51,0.3,0.96,0.95
"PWC","CTV LT",0.95,0.78,0.92,0.9,0.84
"PWC","CTV PWC",0.96,0.96,0.87,0.94,0.9
"PWC","AFT GG",0,0.75,0.1,0.9,0.91
"PWC","AFT WBL LS",0.03,0.91,0.81,0.92,0.94
"PWC","Pseudo",0.96,0.95,0.96,0.95,0.91
"PWC","Wtd KM",0.96,0.95,0.96,0.95,0.92
"Modest NPH","Cox",0,0.45,0.83,0.94,0.79
"Modest NPH","CTV LT",0.76,0.87,0.94,0.94,0.89
"Modest NPH","CTV PWC",0.96,0.97,0.96,0.95,0.92
"Modest NPH","AFT GG",0.13,0.72,0.8,0.95,0.89
"Modest NPH","AFT WBL LS",0.9,0.91,0.95,0.93,0.92
"Modest NPH","Pseudo",0.96,0.97,0.96,0.95,0.92
"Modest NPH","Wtd KM",0.97,0.98,0.97,0.95,0.92
"Modest TE","Cox",0,0.15,0.48,0.49,0.86
"Modest TE","CTV LT",0.78,0.93,0.92,0.94,0.94
"Modest TE","CTV PWC",0.94,0.95,0.95,0.96,0.94
"Modest TE","AFT GG",0,0.42,0.35,0.75,0.94
"Modest TE","AFT WBL LS",0.91,0.95,0.94,0.95,0.95
"Modest TE","Pseudo",0.96,0.95,0.94,0.95,0.95
"Modest TE","Wtd KM",0.96,0.95,0.95,0.96,0.95
"Small SS","Cox",0.02,0.64,0.88,0.93,0.86
"Small SS","CTV LT",0.93,0.93,0.95,0.97,0.93
"Small SS","CTV PWC",0.97,0.97,0.95,0.97,0.94
"Small SS","AFT GG",0.27,0.82,0.82,0.96,0.93
"Small SS","AFT WBL LS",0.91,0.93,0.95,0.96,0.95
"Small SS","Pseudo",0.96,0.98,0.96,0.96,0.96
"Small SS","Wtd KM",0.97,0.97,0.96,0.96,0.95
"GG lambda -0.5","Cox",0,0.23,0.82,0.99,0.81
"GG lambda -0.5","CTV LT",0.91,0.96,0.99,0.98,0.96
"GG lambda -0.5","CTV PWC",0.99,0.99,0.99,0.99,0.95
"GG lambda -0.5","AFT GG",0.96,0.96,0.97,0.98,0.95
"GG lambda -0.5","AFT WBL LS",0.09,0.81,0.91,0.56,0.95
"GG lambda -0.5","Pseudo",0.99,0.99,0.99,0.99,0.97
"GG lambda -0.5","Wtd KM",0.99,0.99,0.98,0.99,0.96
"GG lambda 2.5","Cox",0.7,0.94,0.97,0.98,0.98
"GG lambda 2.5","CTV LT",0,0.45,0.16,0.98,0.9
"GG lambda 2.5","CTV PWC",0.99,0.99,0.98,0.99,0.98
"GG lambda 2.5","AFT GG",0.92,0.97,0.99,0.98,0.96
"GG lambda 2.5","AFT WBL LS",0.91,0.96,0.97,0.97,0.98
"GG lambda 2.5","Pseudo",0.99,0.99,0.99,1,0.98
"GG lambda 2.5","Wtd KM",0.99,1,0.99,0.99,0.98
